"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"316","ETH001","midday","home","eating","home","eating","home","eating",NA,"Saturday"
"317","ETMA00001","midday",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"318","ETMT00002","midday","home","Playing and fetching water","home","Washing clothes","home","Washing clothes",NA,"Saturday"
"319","KEMB00014","midday","home","washing clothes","home","Washing clothes",NA,NA,NA,"Saturday"
"320","KEME00012","midday",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"321","KEMH00011","midday","home","fetching water","home","fetching water",NA,NA,NA,"Saturday"
"322","KEMB00051","midday","home","playing","home","playing",NA,NA,NA,"Saturday"
"323","KECM00029","midday","home","playing","home","playing",NA,NA,NA,"Saturday"
"324","KECP00040","midday","home","herding","home","herding",NA,NA,NA,"Saturday"
"325","KECC00021","midday","home","herding","home","herding",NA,NA,NA,"Saturday"
"326","KECO00028","midday","home","looking after goats","home","looking after goats",NA,NA,NA,"Saturday"
"327","KECL00015","midday","home","playing and watching tv","home compound","herding","home","washing clothes",NA,"Saturday"
"328","ETBR00002","midday","home","Eating lunch,studying","home","Eating lunch,studying",NA,NA,NA,"Saturday"
"329","ETBK00001","midday","home","Eating","home","Eating","home","Eating",NA,"Saturday"
"330","ETMF00003","midday","Home compound","Playing with neighboring children","home","Playing with neighboring children","home","Swiping the house and washing clothes",NA,"Saturday"
"331","ETH001","afternoon","home","Playing Doing homework with ETAM002","home","Playing Doing her homework Help ETAY003 in doing assignment and homework","home","Helping parents( e.g, cooking shopping) Study and do homework Help young siblings in doing homework",NA,"Saturday"
"332","ETMA00001","afternoon",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"333","ETMT00002","afternoon","homecompound","Playing with sisters","home","Playing with sisters","home","Taking care of kid",NA,"Saturday"
"334","KEMB00014","afternoon","homecompound","looking after brother","gate","taking sugarcane sto olpejeta gate",NA,NA,NA,"Saturday"
"335","KEME00012","afternoon",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"336","KEMH00011","afternoon","home","watching tv","home","watching tv",NA,NA,NA,"Saturday"
"337","KEMB00051","afternoon","home","playing","home","playing",NA,NA,NA,"Saturday"
"338","KECM00029","afternoon","home","playing","home","playing","home","playing",NA,"Saturday"
"339","KECP00040","afternoon","home","relaxing","home","watching tv and relaxing",NA,NA,NA,"Saturday"
"340","KECC00021","afternoon","home","playing","home","playing",NA,NA,NA,"Saturday"
"341","KECO00028","afternoon","home","relaxing","home","relaxing and playing",NA,NA,NA,"Saturday"
"342","KECL00015","afternoon","home","playing and watching tv","home compound","herding","home","cooking",NA,"Saturday"
"343","ETBR00002","afternoon","Recreation site","Enjoying","Recreation site","Enjoying",NA,NA,NA,"Saturday"
"344","ETBK00001","afternoon","home","studying","home","studying","home","studying",NA,"Saturday"
"345","ETMF00003","afternoon","home","Playing with sisters","home","Playing with sisters","home","Playing with sisters",NA,"Saturday"
"346","ETH001","evening","home","Eating, and playing with ETAM002","home","Eating dinner , and playing with ETAY003","home","Eating dinner Helping young children to get sleep",NA,"Saturday"
"347","ETMA00001","evening",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"348","ETMT00002","evening","home","Eating, attending Quran education","home","Eating, attending Quran education","home","Eating, attending Quran education",NA,"Saturday"
"349","KEMB00014","evening","home","cutting napier grass and playing","home","cutting napier grass and playing",NA,NA,NA,"Saturday"
"350","KEME00012","evening",NA,NA,NA,NA,NA,NA,NA,"Saturday"
